scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt150_tc15_A200_ca3a8197,hydrogen_central,150,15.0,200,2250.0,1.9,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8893504.953903759,225494547.51277283,0.300679955675731,,,70.6565160624326,6442998139.588845,533102989.7391595,95281085.88766536,628384075.6268249,37.76309518255425,10.590742846813143,22.302678033065213
hydrogen_central_nt150_tc15_A200_2bfb571b,hydrogen_central,150,15.0,200,2250.0,2.0,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8930992.060718685,226445031.9654839,0.28548731243490066,,,70.67496412233596,6467953184.1946945,535167806.2423196,96029737.22584084,631197543.4681604,37.60458768717789,10.861312064270626,22.209064370887447
hydrogen_central_nt175_tc15_A200_ab6be91d,hydrogen_central,175,15.0,200,2625.0,1.0,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,9571380.48860644,242682061.070143,0.5653835621829328,,,73.68687961065135,7277736252.4541,602170429.148057,103114732.623623,705285161.77168,40.93669179285729,8.279839072534283,24.470348745259773
hydrogen_central_nt175_tc15_A200_30e13c69,hydrogen_central,175,15.0,200,2625.0,1.1,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,9691126.553108877,245718218.89221293,0.5137915972160929,,,73.11871874395787,7307162830.367503,604605226.7878447,103997529.96102509,708602756.7488698,40.430867448382976,8.519864504128106,24.167986791446776
hydrogen_central_nt175_tc15_A200_8ee2f239,hydrogen_central,175,15.0,200,2625.0,1.2,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,9796546.094403133,248391128.15423766,0.47106700833688797,,,72.66989135050119,7336532539.793123,607035319.0466588,104878621.2437937,711913940.2904525,39.995795387325416,8.766178185543525,23.90791777763225
hydrogen_central_nt175_tc15_A200_1eb1bc1f,hydrogen_central,175,15.0,200,2625.0,1.3,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,9883612.166222304,250598685.7561436,0.4347390350789291,,,72.3639050660965,7365828174.194671,609459282.230787,105757490.27584012,715216772.5066272,39.64346703458423,9.02312832421567,23.697309707296586
hydrogen_central_nt175_tc15_A200_74739b9b,hydrogen_central,175,15.0,200,2625.0,1.4,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,9959500.157925503,252522823.476813,0.4035322123686531,,,72.14351680626031,7395068481.139356,611878667.5410701,106634699.48418066,718513367.0252508,39.341397347380855,9.285375162892622,23.516744295986825
hydrogen_central_nt175_tc15_A200_50121244,hydrogen_central,175,15.0,200,2625.0,1.5,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,10027917.915256554,254257553.6322656,0.3764607032237103,,,71.97962176816284,7424271331.748041,614294953.6599095,107510785.00244124,721805738.6623508,39.07298169026,9.550344134012231,23.356295943890593
hydrogen_central_nt175_tc15_A200_3ab93a69,hydrogen_central,175,15.0,200,2625.0,1.6,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,10087396.14973581,255765622.4578045,0.35270782816490587,,,71.88124395541192,7453442900.290561,616708651.455326,108385932.0587168,725094583.5140427,38.84259597602018,9.820067579343847,23.21858040004789
hydrogen_central_nt175_tc15_A200_d6bd21ba,hydrogen_central,175,15.0,200,2625.0,1.7,150,8.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,3,,10142446.917465772,257161432.9986251,0.33175733191219214,,,71.81514634587933,7482595676.430889,619120794.3401905,109260515.34292668,728381309.6831172,38.63176768709688,10.090823140799403,23.092555517983055
